,name,year,rating,m_score,runtime,votes,gross
321,They Shall Not Grow Old,2018.0,8.2,91.0,99.0,33970.0,17956913.0
322,Bad Times at the El Royale,2018.0,7.1,60.0,141.0,145401.0,17839115.0
323,Mother!,2017.0,6.6,75.0,121.0,217506.0,17800004.0
324,Show Dogs,2018.0,3.8,31.0,92.0,4694.0,17744685.0
325,Operation Finale,2018.0,6.6,58.0,122.0,41547.0,17612099.0
326,"Paul, Apostle of Christ",2018.0,6.5,52.0,108.0,8531.0,17560475.0
327,Free Solo,2018.0,8.1,83.0,100.0,65416.0,17541090.0
328,Summer '03,2018.0,5.5,45.0,95.0,3381.0,17521754.0
329,Father Figures,2017.0,5.5,22.0,113.0,19637.0,17501244.0
330,Sorry to Bother You,2018.0,6.9,80.0,112.0,76011.0,17493096.0
331,The Zookeeper's Wife,2017.0,7.0,57.0,127.0,42883.0,17445186.0
332,Chappaquiddick,2017.0,6.4,67.0,106.0,13336.0,17395520.0
333,Brightburn,2019.0,6.1,44.0,90.0,94636.0,17300439.0
334,The Glass Castle,2017.0,7.1,56.0,127.0,33250.0,17273059.0
335,The Farewell,2019.0,7.5,89.0,100.0,62283.0,16877010.0
336,Flatliners,2017.0,5.2,27.0,109.0,46523.0,16866403.0
337,The Kid Who Would Be King,2019.0,6.1,66.0,120.0,16611.0,16790790.0
338,Detroit,2017.0,7.3,77.0,143.0,52594.0,16790139.0
339,Missing Link,2019.0,6.7,68.0,93.0,25515.0,16649539.0
340,Mary Queen of Scots,2018.0,6.3,60.0,124.0,49382.0,16468499.0
341,Forever My Girl,2018.0,6.6,36.0,108.0,17292.0,16376066.0
342,Mortal Engines,2018.0,6.1,44.0,128.0,123177.0,15951040.0
343,Hunter Killer,2018.0,6.6,43.0,121.0,62050.0,15767460.0
344,Late Night,2019.0,6.5,70.0,102.0,36555.0,15499454.0
345,Miss Bala,2019.0,5.7,41.0,104.0,11129.0,15006824.0
346,If Beale Street Could Talk,2018.0,7.1,87.0,119.0,48098.0,14915773.0
347,The Prodigy,2019.0,5.8,45.0,92.0,26124.0,14856291.0
348,The Girl in the Spider's Web,2018.0,6.1,43.0,115.0,47158.0,14841338.0
349,The Possession of Hannah Grace,2018.0,5.2,37.0,86.0,22413.0,14837422.0
350,The Case for Christ,2017.0,6.2,50.0,112.0,8968.0,14678714.0
351,Wish Upon,2017.0,5.0,32.0,90.0,20459.0,14301505.0
352,Borg vs. McEnroe,2017.0,6.9,63.0,107.0,31184.0,14113354.0
353,RBG,2018.0,7.6,71.0,98.0,14144.0,14017361.0
354,It Comes at Night,2017.0,6.2,78.0,91.0,91973.0,13985117.0
355,Poms,2019.0,6.0,36.0,90.0,6184.0,13631124.0
356,Eighth Grade,2018.0,7.4,89.0,93.0,74030.0,13539709.0
